emoji,emoji_clean,sentiment_label,label_numeric
🙋,:person_raising_hand:,positive,2
🎄,:Christmas_tree:,positive,2
💩,:pile_of_poo:,negative,0
🎵,:musical_note:,positive,2
➡,:right_arrow:,neutral,1
😛,:face_with_tongue:,positive,2
😬,:grimacing_face:,positive,2
👯,:people_with_bunny_ears:,positive,2
💎,:gem_stone:,positive,2
🌿,:herb:,neutral,1
🎂,:birthday_cake:,positive,2
🌟,:glowing_star:,neutral,1
🔮,:crystal_ball:,neutral,1
❗,:red_exclamation_mark:,neutral,1
👫,:woman_and_man_holding_hands:,positive,2
🏆,:trophy:,positive,2
✖,:multiply:,neutral,1
☝,:index_pointing_up:,positive,2
😙,:kissing_face_with_smiling_eyes:,positive,2
⛄,:snowman_without_snow:,positive,2
👅,:tongue:,positive,2
♪,♪,positive,2
🍂,:fallen_leaf:,positive,2
💏,:kiss:,positive,2
🔪,:kitchen_knife:,neutral,1
🌴,:palm_tree:,positive,2
👈,:backhand_index_pointing_left:,positive,2
🌹,:rose:,positive,2
🙆,:person_gesturing_OK:,positive,2
➜,➜,neutral,1
👻,:ghost:,neutral,1
💰,:money_bag:,neutral,1
🍻,:clinking_beer_mugs:,positive,2
🙅,:person_gesturing_NO:,negative,0
🌞,:sun_with_face:,positive,2
🍁,:maple_leaf:,positive,2
⭐,:star:,positive,2
▪,:black_small_square:,neutral,1
🎀,:ribbon:,positive,2
━,━,neutral,1
☷,☷,neutral,1
🐷,:pig_face:,neutral,1
🙉,:hear-no-evil_monkey:,positive,2
🌺,:hibiscus:,positive,2
💅,:nail_polish:,positive,2
🐶,:dog_face:,positive,2
🌚,:new_moon_face:,positive,2
👽,:alien:,neutral,1
🎤,:microphone:,positive,2
👭,:women_holding_hands:,positive,2
🎧,:headphone:,positive,2
👆,:backhand_index_pointing_up:,positive,2
🍸,:cocktail_glass:,positive,2
🍷,:wine_glass:,neutral,1
®,:registered:,neutral,1
🍉,:watermelon:,positive,2
😇,:smiling_face_with_halo:,positive,2
☑,:check_box_with_check:,neutral,1
🏃,:person_running:,positive,2
😿,:crying_cat:,negative,0
│,│,neutral,1
💣,:bomb:,neutral,1
🍺,:beer_mug:,positive,2
▶,:play_button:,neutral,1
😲,:astonished_face:,negative,0
🎸,:guitar:,positive,2
🍹,:tropical_drink:,positive,2
💫,:dizzy:,positive,2
📚,:books:,positive,2
😶,:face_without_mouth:,negative,0
🌷,:tulip:,positive,2
💝,:heart_with_ribbon:,positive,2
💨,:dashing_away:,positive,2
🏈,:american_football:,positive,2
💍,:ring:,positive,2
☔,:umbrella_with_rain_drops:,positive,2
👸,:princess:,positive,2
🇪,🇪,positive,2
░,░,neutral,1
🍩,:doughnut:,positive,2
👾,:alien_monster:,neutral,1
☁,:cloud:,positive,2
🌻,:sunflower:,positive,2
😵,:face_with_crossed-out_eyes:,positive,2
📒,:ledger:,neutral,1
↿,↿,positive,2
🐯,:tiger_face:,positive,2
👼,:baby_angel:,positive,2
🍔,:hamburger:,positive,2
😸,:grinning_cat_with_smiling_eyes:,positive,2
👶,:baby:,positive,2
↾,↾,positive,2
💐,:bouquet:,positive,2
🌊,:water_wave:,positive,2
🍦,:soft_ice_cream:,positive,2
🍓,:strawberry:,positive,2
👇,:backhand_index_pointing_down:,neutral,1
💆,:person_getting_massage:,positive,2
🍴,:fork_and_knife:,positive,2
😧,:anguished_face:,negative,0
🇸,🇸,positive,2
😮,:face_with_open_mouth:,positive,2
▓,▓,neutral,1
🚫,:prohibited:,negative,0
😽,:kissing_cat:,positive,2
🌈,:rainbow:,positive,2
🙀,:weary_cat:,positive,2
⚠,:warning:,neutral,1
🎮,:video_game:,positive,2
╯,╯,neutral,1
🍆,:eggplant:,positive,2
🍰,:shortcake:,positive,2
✓,✓,neutral,1
👐,:open_hands:,negative,0
🙇,:person_bowing:,positive,2
🍟,:french_fries:,positive,2
🍌,:banana:,positive,2
💑,:couple_with_heart:,positive,2
👬,:men_holding_hands:,negative,0
🐣,:hatching_chick:,positive,2
🎃,:jack-o-lantern:,positive,2
▬,▬,neutral,1
￼,￼,negative,0
😟,:worried_face:,positive,2
🐾,:paw_prints:,positive,2
🎓,:graduation_cap:,positive,2
🏊,:person_swimming:,positive,2
🍫,:chocolate_bar:,positive,2
📷,:camera:,positive,2
👄,:mouth:,positive,2
🌼,:blossom:,positive,2
🚶,:person_walking:,neutral,1
🐱,:cat_face:,positive,2
║,║,neutral,1
🐸,:frog:,neutral,1
🇺,🇺,positive,2
👿,:angry_face_with_horns:,negative,0
🚬,:cigarette:,positive,2
✿,✿,neutral,1
📖,:open_book:,positive,2
🐒,:monkey:,positive,2
🌍,:globe_showing_Europe-Africa:,positive,2
┊,┊,positive,2
🐥,:front-facing_baby_chick:,positive,2
🌀,:cyclone:,neutral,1
🐼,:panda:,neutral,1
🎥,:movie_camera:,neutral,1
💄,:lipstick:,positive,2
💸,:money_with_wings:,positive,2
⛔,:no_entry:,positive,2
●,●,neutral,1
🏀,:basketball:,positive,2
💉,:syringe:,positive,2
💟,:heart_decoration:,positive,2
🚗,:automobile:,neutral,1
😯,:hushed_face:,positive,2
📝,:memo:,neutral,1
═,═,neutral,1
♦,:diamond_suit:,positive,2
💭,:thought_balloon:,neutral,1
🌙,:crescent_moon:,positive,2
🐟,:fish:,positive,2
👣,:footprints:,positive,2
☞,☞,neutral,1
✂,:scissors:,negative,0
🗿,:moai:,positive,2
🍝,:spaghetti:,positive,2
👪,:family:,negative,0
🍭,:lollipop:,positive,2
🌃,:night_with_stars:,neutral,1
❌,:cross_mark:,positive,2
🐰,:rabbit_face:,positive,2
💊,:pill:,positive,2
🚨,:police_car_light:,positive,2
😦,:frowning_face_with_open_mouth:,negative,0
🍪,:cookie:,positive,2
🍣,:sushi:,negative,0
╭,╭,neutral,1
✧,✧,neutral,1
🎆,:fireworks:,positive,2
╮,╮,neutral,1
🎎,:Japanese_dolls:,positive,2
🇩,🇩,positive,2
✅,:check_mark_button:,positive,2
👹,:ogre:,neutral,1
📱,:mobile_phone:,neutral,1
🙍,:person_frowning:,negative,0
🍑,:peach:,positive,2
🎼,:musical_score:,neutral,1
🔊,:speaker_high_volume:,positive,2
🌌,:milky_way:,positive,2
🍎,:red_apple:,positive,2
🐻,:bear:,positive,2
─,─,neutral,1
╰,╰,neutral,1
💇,:person_getting_haircut:,positive,2
♬,♬,neutral,1
♚,♚,neutral,1
🔴,:red_circle:,neutral,1
🍱,:bento_box:,negative,0
🍊,:tangerine:,positive,2
🍒,:cherries:,positive,2
🐭,:mouse_face:,positive,2
👟,:running_shoe:,positive,2
🌎,:globe_showing_Americas:,positive,2
🍍,:pineapple:,positive,2
🐮,:cow_face:,positive,2
📲,:mobile_phone_with_arrow:,neutral,1
☼,☼,neutral,1
🌅,:sunrise:,positive,2
🇷,🇷,positive,2
👠,:high-heeled_shoe:,positive,2
🌽,:ear_of_corn:,positive,2
💧,:droplet:,negative,0
❓,:red_question_mark:,neutral,1
🍬,:candy:,positive,2
😺,:grinning_cat:,positive,2
🐴,:horse_face:,neutral,1
🚀,:rocket:,positive,2
¦,¦,positive,2
💢,:anger_symbol:,neutral,1
🎬,:clapper_board:,neutral,1
🍧,:shaved_ice:,positive,2
🍜,:steaming_bowl:,positive,2
🐏,:ram:,positive,2
🐘,:elephant:,neutral,1
👧,:girl:,positive,2
⠀,⠀,neutral,1
🏄,:person_surfing:,positive,2
➤,➤,neutral,1
⬆,:up_arrow:,neutral,1
🍋,:lemon:,neutral,1
🆗,:OK_button:,positive,2
⚪,:white_circle:,neutral,1
📺,:television:,positive,2
🍅,:tomato:,positive,2
⛅,:sun_behind_cloud:,positive,2
🐢,:turtle:,neutral,1
👙,:bikini:,positive,2
🏡,:house_with_garden:,positive,2
🌾,:sheaf_of_rice:,positive,2
◉,◉,neutral,1
✏,:pencil:,neutral,1
🐬,:dolphin:,positive,2
🍤,:fried_shrimp:,neutral,1
🇹,🇹,positive,2
♣,:club_suit:,positive,2
🐝,:honeybee:,neutral,1
🌝,:full_moon_face:,neutral,1
🇮,🇮,positive,2
🔋,:battery:,negative,0
🐍,:snake:,positive,2
♔,♔,positive,2
🍳,:cooking:,positive,2
🔵,:blue_circle:,positive,2
😾,:pouting_cat:,negative,0
🌕,:full_moon:,positive,2
🐨,:koala:,positive,2
🔐,:locked_with_key:,positive,2
💿,:optical_disk:,positive,2
❁,❁,neutral,1
🌳,:deciduous_tree:,positive,2
👰,:person_with_veil:,positive,2
❀,❀,neutral,1
⚓,:anchor:,positive,2
🚴,:person_biking:,positive,2
▀,▀,neutral,1
👗,:dress:,neutral,1
➕,:plus:,positive,2
💬,:speech_balloon:,positive,2
▒,▒,neutral,1
🔜,:SOON_arrow:,positive,2
🍨,:ice_cream:,positive,2
💲,:heavy_dollar_sign:,neutral,1
⛽,:fuel_pump:,neutral,1
🍙,:rice_ball:,positive,2
🍗,:poultry_leg:,positive,2
🍲,:pot_of_food:,neutral,1
🍥,:fish_cake_with_swirl:,negative,0
▸,▸,neutral,1
♛,♛,neutral,1
😼,:cat_with_wry_smile:,positive,2
🐙,:octopus:,positive,2
👨,:man:,positive,2
🍚,:cooked_rice:,positive,2
🍖,:meat_on_bone:,positive,2
♨,:hot_springs:,positive,2
🎹,:musical_keyboard:,neutral,1
♕,♕,neutral,1
▃,▃,positive,2
🚘,:oncoming_automobile:,positive,2
🍏,:green_apple:,neutral,1
👩,:woman:,positive,2
👦,:boy:,neutral,1
🇬,🇬,neutral,1
🇧,🇧,neutral,1
☠,:skull_and_crossbones:,neutral,1
🐠,:tropical_fish:,positive,2
🚹,:men’s_room:,positive,2
💵,:dollar_banknote:,positive,2
✰,✰,positive,2
╠,╠,neutral,1
👛,:purse:,positive,2
🚙,:sport_utility_vehicle:,neutral,1
🌱,:seedling:,positive,2
💻,:laptop:,neutral,1
🌏,:globe_showing_Asia-Australia:,positive,2
▄,▄,neutral,1
👓,:glasses:,neutral,1
◄,◄,neutral,1
⚾,:baseball:,negative,0
🌲,:evergreen_tree:,positive,2
👴,:old_man:,positive,2
🏠,:house:,positive,2
🍇,:grapes:,positive,2
🍘,:rice_cracker:,positive,2
🍛,:curry_rice:,positive,2
🐇,:rabbit:,positive,2
🔞,:no_one_under_eighteen:,neutral,1
👵,:old_woman:,positive,2
◀,:reverse_button:,neutral,1
🔙,:BACK_arrow:,neutral,1
🌵,:cactus:,positive,2
🐽,:pig_nose:,neutral,1
🍮,:custard:,negative,0
🎇,:sparkler:,positive,2
🐎,:horse:,positive,2
➔,➔,neutral,1
💶,:euro_banknote:,neutral,1
🐤,:baby_chick:,positive,2
╩,╩,neutral,1
🛀,:person_taking_bath:,positive,2
🌑,:new_moon:,positive,2
🚲,:bicycle:,neutral,1
🐑,:ewe:,neutral,1
🏁,:chequered_flag:,positive,2
🍞,:bread:,neutral,1
🎾,:tennis:,positive,2
╚,╚,neutral,1
🈹,:Japanese_discount_button:,neutral,1
🐳,:spouting_whale:,neutral,1
👮,:police_officer:,negative,0
☹,:frowning_face:,negative,0
🐵,:monkey_face:,positive,2
✪,✪,neutral,1
◕,◕,neutral,1
🗼,:Tokyo_tower:,positive,2
▐,▐,neutral,1
♠,:spade_suit:,neutral,1
┳,┳,negative,0
👺,:goblin:,negative,0
🐚,:spiral_shell:,neutral,1
👂,:ear:,neutral,1
🗽,:Statue_of_Liberty:,neutral,1
🍵,:teacup_without_handle:,positive,2
🆒,:COOL_button:,neutral,1
🍯,:honey_pot:,positive,2
🐺,:wolf:,neutral,1
⇨,⇨,positive,2
➨,➨,neutral,1
🌓,:first_quarter_moon:,positive,2
🔒,:locked:,positive,2
╬,╬,neutral,1
👳,:person_wearing_turban:,positive,2
🌂,:closed_umbrella:,neutral,1
🚌,:bus:,neutral,1
♩,♩,positive,2
🍡,:dango:,neutral,1
❥,❥,neutral,1
🎡,:ferris_wheel:,neutral,1
💌,:love_letter:,positive,2
🐩,:poodle:,neutral,1
🌜,:last_quarter_moon_face:,positive,2
⌚,:watch:,neutral,1
🚿,:shower:,positive,2
🐖,:pig:,neutral,1
🔆,:bright_button:,positive,2
🌛,:first_quarter_moon_face:,positive,2
💂,:guard:,negative,0
🐔,:chicken:,neutral,1
🙎,:person_pouting:,negative,0
🏩,:love_hotel:,positive,2
🇫,🇫,positive,2
🔨,:hammer:,negative,0
📢,:loudspeaker:,neutral,1
🐦,:bird:,neutral,1
🐲,:dragon_face:,neutral,1
♻,:recycling_symbol:,positive,2
🌘,:waning_crescent_moon:,positive,2
🍐,:pear:,positive,2
🌔,:waxing_gibbous_moon:,positive,2
╥,╥,positive,2
❊,❊,neutral,1
👖,:jeans:,neutral,1
🚺,:women’s_room:,neutral,1
😗,:kissing_face:,positive,2
🎭,:performing_arts:,negative,0
🐄,:cow:,positive,2
◟,◟,neutral,1
🍢,:oden:,neutral,1
🎨,:artist_palette:,neutral,1
⬇,:down_arrow:,positive,2
🚼,:baby_symbol:,positive,2
⛲,:fountain:,neutral,1
▁,▁,neutral,1
🇴,🇴,neutral,1
🌗,:last_quarter_moon:,positive,2
🌖,:waning_gibbous_moon:,positive,2
🔅,:dim_button:,positive,2
👜,:handbag:,neutral,1
🐌,:snail:,positive,2
💼,:briefcase:,positive,2
🚕,:taxi:,neutral,1
🐹,:hamster:,positive,2
🌠,:shooting_star:,positive,2
🐈,:cat:,neutral,1
⇧,⇧,neutral,1
☎,:telephone:,neutral,1
🌁,:foggy:,neutral,1
⚫,:black_circle:,positive,2
♧,♧,positive,2
🏰,:castle:,neutral,1
🚵,:person_mountain_biking:,neutral,1
🎢,:roller_coaster:,positive,2
🎷,:saxophone:,positive,2
🎐,:wind_chime:,neutral,1
┈,┈,negative,0
╗,╗,neutral,1
╱,╱,neutral,1
🌇,:sunset:,positive,2
⏰,:alarm_clock:,positive,2
⇩,⇩,neutral,1
🚂,:locomotive:,neutral,1
◠,◠,positive,2
🎿,:skis:,positive,2
✦,✦,neutral,1
🆔,:ID_button:,positive,2
⛪,:church:,neutral,1
🌒,:waxing_crescent_moon:,positive,2
🐪,:camel:,positive,2
╔,╔,neutral,1
╝,╝,positive,2
👔,:necktie:,positive,2
🔱,:trident_emblem:,neutral,1
🆓,:FREE_button:,neutral,1
🐋,:whale:,neutral,1
▽,▽,positive,2
▂,▂,neutral,1
🐛,:bug:,positive,2
👕,:t-shirt:,positive,2
🚋,:tram_car:,neutral,1
💳,:credit_card:,positive,2
🌆,:cityscape_at_dusk:,neutral,1
🏧,:ATM_sign:,positive,2
💡,:light_bulb:,positive,2
🔹,:small_blue_diamond:,neutral,1
⬅,:left_arrow:,positive,2
🍠,:roasted_sweet_potato:,negative,0
🐫,:two-hump_camel:,neutral,1
🏪,:convenience_store:,neutral,1
۩,۩,neutral,1
🇱,🇱,neutral,1
📹,:video_camera:,positive,2
👞,:man’s_shoe:,positive,2
🚑,:ambulance:,neutral,1
🆘,:SOS_button:,positive,2
👚,:woman’s_clothes:,positive,2
🚍,:oncoming_bus:,positive,2
□,□,negative,0
🐂,:ox:,neutral,1
🚣,:person_rowing_boat:,positive,2
✳,:eight-spoked_asterisk:,neutral,1
🏉,:rugby_football:,positive,2
🗻,:mount_fuji:,positive,2
🐀,:rat:,neutral,1
╦,╦,neutral,1
⛺,:tent:,positive,2
🐕,:dog:,neutral,1
🏂,:snowboarder:,positive,2
👡,:woman’s_sandal:,positive,2
📻,:radio:,positive,2
✒,:black_nib:,neutral,1
🌰,:chestnut:,positive,2
🏢,:office_building:,neutral,1
🎒,:backpack:,positive,2
⌒,⌒,positive,2
🏫,:school:,negative,0
📴,:mobile_phone_off:,positive,2
🚢,:ship:,positive,2
🚚,:delivery_truck:,neutral,1
🐉,:dragon:,neutral,1
❒,❒,neutral,1
🐊,:crocodile:,neutral,1
🔔,:bell:,positive,2
◢,◢,positive,2
🏥,:hospital:,neutral,1
❔,:white_question_mark:,negative,0
🚖,:oncoming_taxi:,neutral,1
🃏,:joker:,positive,2
▼,▼,neutral,1
▌,▌,negative,0
☛,☛,neutral,1
✩,✩,neutral,1
💒,:wedding:,positive,2
🚤,:speedboat:,neutral,1
🐐,:goat:,positive,2
■,■,negative,0
🔚,:END_arrow:,positive,2
🎻,:violin:,neutral,1
🔷,:large_blue_diamond:,neutral,1
🚦,:vertical_traffic_light:,neutral,1
🔓,:unlocked:,positive,2
🎽,:running_shirt:,positive,2
📅,:calendar:,positive,2
🎺,:trumpet:,positive,2
✯,✯,neutral,1
🍈,:melon:,negative,0
✉,:envelope:,neutral,1
╣,╣,neutral,1
◤,◤,positive,2
○,○,positive,2
🍼,:baby_bottle:,positive,2
📀,:dvd:,neutral,1
🚛,:articulated_lorry:,neutral,1
📓,:notebook:,neutral,1
☉,☉,neutral,1
💴,:yen_banknote:,neutral,1
┼,┼,neutral,1
🐃,:water_buffalo:,neutral,1
➰,:curly_loop:,negative,0
🔌,:electric_plug:,negative,0
🍄,:mushroom:,neutral,1
📕,:closed_book:,neutral,1
📣,:megaphone:,positive,2
🚓,:police_car:,neutral,1
🐗,:boar:,positive,2
↪,:left_arrow_curving_right:,neutral,1
⛳,:flag_in_hole:,positive,2
┻,┻,negative,0
┛,┛,positive,2
┃,┃,neutral,1
👱,:person_blond_hair:,neutral,1
⏳,:hourglass_not_done:,negative,0
💺,:seat:,neutral,1
🏇,:horse_racing:,negative,0
☻,☻,neutral,1
📞,:telephone_receiver:,positive,2
Ⓐ,Ⓐ,neutral,1
🌉,:bridge_at_night:,positive,2
🚩,:triangular_flag:,negative,0
✎,✎,positive,2
📃,:page_with_curl:,positive,2
🏨,:hotel:,neutral,1
📌,:pushpin:,negative,0
♎,:Libra:,neutral,1
💷,:pound_banknote:,positive,2
🚄,:high-speed_train:,positive,2
▲,▲,positive,2
⛵,:sailboat:,positive,2
🔸,:small_orange_diamond:,neutral,1
⌛,:hourglass_done:,positive,2
🚜,:tractor:,positive,2
🐆,:leopard:,neutral,1
👒,:woman’s_hat:,neutral,1
❕,:white_exclamation_mark:,neutral,1
🔛,:ON!_arrow:,positive,2
♢,♢,neutral,1
🇲,🇲,positive,2
❅,❅,positive,2
👝,:clutch_bag:,positive,2
✞,✞,neutral,1
◡,◡,neutral,1
🎋,:tanabata_tree:,positive,2
👥,:busts_in_silhouette:,positive,2
📵,:no_mobile_phones:,neutral,1
🐡,:blowfish:,neutral,1
◆,◆,positive,2
🏯,:Japanese_castle:,neutral,1
☂,:umbrella:,neutral,1
🔭,:telescope:,neutral,1
🎪,:circus_tent:,neutral,1
🐜,:ant:,positive,2
♌,:Leo:,positive,2
☐,☐,negative,0
👷,:construction_worker:,positive,2
↳,↳,neutral,1
🔈,:speaker_low_volume:,neutral,1
📄,:page_facing_up:,positive,2
📍,:round_pushpin:,neutral,1
🚐,:minibus:,positive,2
🚔,:oncoming_police_car:,neutral,1
🌋,:volcano:,positive,2
📡,:satellite_antenna:,positive,2
⏩,:fast-forward_button:,neutral,1
🚳,:no_bicycles:,positive,2
✘,✘,positive,2
۞,۞,neutral,1
☾,☾,neutral,1
🅰,:A_button_(blood_type):,positive,2
📥,:inbox_tray:,neutral,1
🇼,🇼,neutral,1
┓,┓,positive,2
┣,┣,positive,2
Ⓛ,Ⓛ,neutral,1
Ⓔ,Ⓔ,neutral,1
🔦,:flashlight:,neutral,1
👤,:bust_in_silhouette:,positive,2
🚁,:helicopter:,neutral,1
🎠,:carousel_horse:,positive,2
🐁,:mouse:,neutral,1
📗,:green_book:,neutral,1
┐,┐,negative,0
☮,:peace_symbol:,negative,0
♂,:male_sign:,neutral,1
◞,◞,neutral,1
📯,:postal_horn:,neutral,1
🔩,:nut_and_bolt:,neutral,1
👢,:woman’s_boot:,positive,2
◂,◂,neutral,1
📰,:newspaper:,positive,2
📶,:antenna_bars:,neutral,1
🚥,:horizontal_traffic_light:,neutral,1
🌄,:sunrise_over_mountains:,neutral,1
🗾,:map_of_Japan:,neutral,1
🔶,:large_orange_diamond:,neutral,1
🏤,:post_office:,neutral,1
🎩,:top_hat:,neutral,1
Ⓜ,:circled_M:,positive,2
🔧,:wrench:,negative,0
🐅,:tiger:,neutral,1
♮,♮,neutral,1
🅾,:O_button_(blood_type):,negative,0
🔄,:counterclockwise_arrows_button:,neutral,1
☄,:comet:,neutral,1
☨,☨,neutral,1
📦,:package:,neutral,1
🚊,:tram:,positive,2
🔲,:black_square_button:,positive,2
🔁,:repeat_button:,neutral,1
△,△,neutral,1
📆,:tear-off_calendar:,positive,2
❛,❛,neutral,1
📉,:chart_decreasing:,neutral,1
▵,▵,neutral,1
🔎,:magnifying_glass_tilted_right:,positive,2
☜,☜,neutral,1
🇯,🇯,neutral,1
🇵,🇵,neutral,1
📘,:blue_book:,positive,2
✡,:star_of_David:,neutral,1
ⓔ,ⓔ,positive,2
🔑,:key:,positive,2
🔃,:clockwise_vertical_arrows:,neutral,1
👃,:nose:,negative,0
⭕,:hollow_red_circle:,neutral,1
🔘,:radio_button:,neutral,1
ⓒ,ⓒ,negative,0
🚭,:no_smoking:,positive,2
🚉,:station:,positive,2
🚪,:door:,positive,2
➳,➳,neutral,1
🚃,:railway_car:,positive,2
┯,┯,negative,0
🏬,:department_store:,neutral,1
☽,☽,neutral,1
🆙,:UP!_button:,neutral,1
🆖,:NG_button:,positive,2
☪,:star_and_crescent:,neutral,1
┗,┗,positive,2
🚮,:litter_in_bin_sign:,negative,0
┫,┫,neutral,1
Ⓞ,Ⓞ,neutral,1
❇,:sparkle:,positive,2
✴,:eight-pointed_star:,positive,2
┌,┌,negative,0
☊,☊,positive,2
🔕,:bell_with_slash:,negative,0
⬛,:black_large_square:,negative,0
❝,❝,neutral,1
❞,❞,neutral,1
🚞,:mountain_railway:,positive,2
🍶,:sake:,positive,2
🌐,:globe_with_meridians:,positive,2
♀,:female_sign:,neutral,1
🚅,:bullet_train:,positive,2
🚒,:fire_engine:,neutral,1
➣,➣,neutral,1
♋,:Cancer:,neutral,1
♍,:Virgo:,positive,2
🕝,:two-thirty:,neutral,1
ⓐ,ⓐ,positive,2
✗,✗,negative,0
📙,:orange_book:,positive,2
Ⓢ,Ⓢ,neutral,1
📋,:clipboard:,positive,2
⇢,⇢,negative,0
🎱,:pool_8_ball:,positive,2
🐞,:lady_beetle:,neutral,1
🔺,:red_triangle_pointed_up:,neutral,1
ⓡ,ⓡ,positive,2
🎍,:pine_decoration:,neutral,1
♤,♤,positive,2
🎲,:game_die:,neutral,1
🎯,:bullseye:,positive,2
〠,〠,neutral,1
🔉,:speaker_medium_volume:,positive,2
↩,:right_arrow_curving_left:,positive,2
🚾,:water_closet:,neutral,1
🎣,:fishing_pole:,negative,0
🔣,:input_symbols:,neutral,1
❎,:cross_mark_button:,negative,0
➥,➥,neutral,1
🅱,:B_button_(blood_type):,neutral,1
🎌,:crossed_flags:,positive,2
◣,◣,neutral,1
⏬,:fast_down_button:,positive,2
♭,♭,neutral,1
💠,:diamond_with_a_dot:,neutral,1
ⓞ,ⓞ,positive,2
🔳,:white_square_button:,neutral,1
🏭,:factory:,neutral,1
🔰,:Japanese_symbol_for_beginner:,neutral,1
🎳,:bowling:,negative,0
☚,☚,positive,2
➽,➽,neutral,1
➫,➫,neutral,1
➖,:minus:,negative,0
🏮,:red_paper_lantern:,neutral,1
📛,:name_badge:,neutral,1
꒰,꒰,neutral,1
꒱,꒱,neutral,1
◝,◝,negative,0
📑,:bookmark_tabs:,positive,2
🎦,:cinema:,neutral,1
ⓧ,ⓧ,positive,2
🇨,🇨,neutral,1
🇳,🇳,neutral,1
🔟,:keycap_10:,positive,2
〓,〓,positive,2
ⓜ,ⓜ,neutral,1
➠,➠,positive,2
🚆,:train:,neutral,1
🚠,:mountain_cableway:,neutral,1
