original_review,comment_clean,sentiment_label,label_numeric
"We love Alexa! We use her to play music, play radio through iTunes, play podcasts through Anypod, and set reminders. We listen to our flash briefing of news and weather every morning. We rely on our custom lists. We like being able to voice control the volume. We're sure we'll continue to find new uses.Sometimes it's a bit frustrating when Alexa doesn't understand what we're saying.","we love alexa! we use her to play music, play radio through itunes, play podcasts through anypod, and set reminders. we listen to our flash briefing of news and weather every morning. we rely on our custom lists. we like being able to voice control the volume. we're sure we'll continue to find new uses.sometimes it's a bit frustrating when alexa doesn't understand what we're saying.",positive,2
"Have only had it set up for a few days. Still adding smart home devices to it. The speaker is great for playing music. I like the size, we have it stationed on the kitchen counter and it’s not intrusive to look at.","have only had it set up for a few days. still adding smart home devices to it. the speaker is great for playing music. i like the size, we have it stationed on the kitchen counter and it’s not intrusive to look at.",positive,2
I love it. It plays my sleep sounds immediately when I ask,i love it. it plays my sleep sounds immediately when i ask,positive,2
"I got a second unit for the bedroom, I was expecting the sounds to be improved but I didnt really see a difference at all.  Overall, not a big improvement over the 1st generation.","i got a second unit for the bedroom, i was expecting the sounds to be improved but i didnt really see a difference at all.  overall, not a big improvement over the 1st generation.",neutral,1
Amazing product,amazing product,positive,2
"I love my Echo. It's easy to operate, loads of fun.It is everything as advertised. I use it mainly to play my favorite tunes and test Alexa's knowledge.","i love my echo. it's easy to operate, loads of fun.it is everything as advertised. i use it mainly to play my favorite tunes and test alexa's knowledge.",positive,2
Sounds great!! Love them!,sounds great!! love them!,positive,2
"Fun item to play with and get used to using.  Sometimes has hard time answering the questions you ask, but I think it will be better.","fun item to play with and get used to using.  sometimes has hard time answering the questions you ask, but i think it will be better.",positive,2
Just like the other one,just like the other one,positive,2
Still learning all the capabilities...but so far pretty pretty pretty good,still learning all the capabilities...but so far pretty pretty pretty good,positive,2
I like it,i like it,positive,2
"She works well. Needs a learning command  for unique, owners and users like. Alexa “learn” Tasha’s birthday.  Or Alexa “learn” my definition of Fine. Etc. other than that she is great","she works well. needs a learning command  for unique, owners and users like. alexa “learn” tasha’s birthday.  or alexa “learn” my definition of fine. etc. other than that she is great",positive,2
The speakers sound pretty good for being so small and setup is pretty easy.  I bought two and the reason I only rate it a 3 is I have followed the instructions for synching music to both units.  I know I've done it correctly but they won't sync.  That was my primary motivation for purchasing multiple units.,the speakers sound pretty good for being so small and setup is pretty easy.  i bought two and the reason i only rate it a 3 is i have followed the instructions for synching music to both units.  i know i've done it correctly but they won't sync.  that was my primary motivation for purchasing multiple units.,neutral,1
This device is awesome!,this device is awesome!,positive,2
I bought this to compare the speaker quality to our first generation speaker and i like the sound better.  I will ship this to my daughter though because I like the fact that my first generation has a chargeable base that we bought which keeps it more mobile and she needs a better sound than what she has now.,i bought this to compare the speaker quality to our first generation speaker and i like the sound better.  i will ship this to my daughter though because i like the fact that my first generation has a chargeable base that we bought which keeps it more mobile and she needs a better sound than what she has now.,positive,2
"Love my Echo. Still learning all the things it will do. Wasn’t able to follow instructions included in the package, but found a great one on U-Tube.","love my echo. still learning all the things it will do. wasn’t able to follow instructions included in the package, but found a great one on u-tube.",positive,2
Speaker is better than 1st generation Echo,speaker is better than 1st generation echo,positive,2
"This thing is way cool!  You should get one.  If you want to be cool, that is.","this thing is way cool!  you should get one.  if you want to be cool, that is.",positive,2
"This is my first digital assistant so I'm giving this a good review. Speaker is really good for the cheap price on Prime day. Fun to play with and can be used as an alarm clock (That's what I was going to get in the first place, but I ended up with Echo). If you haven't had a go with one then definitely try it!What I like best is the number of other devices that it can connect with. My purchase came with a Smart Plug for $10 which I connect my lamp to. Alexa, turn of the lights!","this is my first digital assistant so i'm giving this a good review. speaker is really good for the cheap price on prime day. fun to play with and can be used as an alarm clock (that's what i was going to get in the first place, but i ended up with echo). if you haven't had a go with one then definitely try it!what i like best is the number of other devices that it can connect with. my purchase came with a smart plug for $10 which i connect my lamp to. alexa, turn of the lights!",positive,2
My husband likes being able to use it to listen to music.  I wish we knew all it's capabilities,my husband likes being able to use it to listen to music.  i wish we knew all it's capabilities,positive,2
"My Android would not allow Alexa to connect. Fortunately, my sister was here with her Apple cell. After an hour+ tech support fixed the glitches. We are up and running.","my android would not allow alexa to connect. fortunately, my sister was here with her apple cell. after an hour+ tech support fixed the glitches. we are up and running.",positive,2
So far so good,so far so good,positive,2
Tried to play certain broadway shows like Camelot and it gives ne the group Camelot.,tried to play certain broadway shows like camelot and it gives ne the group camelot.,positive,2
Great,great,positive,2
Very satisfied with the Echo. Alexa now controls the lights in my family room and my wife can listen to Jimmy Buffet by just asking Alexa.,very satisfied with the echo. alexa now controls the lights in my family room and my wife can listen to jimmy buffet by just asking alexa.,positive,2
"It's like Siri, in fact, Siri answers more accurately then Alexa.  I don't see a real need for it in my household, though it was a good bargain on prime day deals.","it's like siri, in fact, siri answers more accurately then alexa.  i don't see a real need for it in my household, though it was a good bargain on prime day deals.",negative,0
Love my Echo. Still learning how every thing works but having tons of fun.,love my echo. still learning how every thing works but having tons of fun.,positive,2
I love you so much,i love you so much,positive,2
No different than Apple. To play a specific list of music you must have an Amazon of Spotify “plus/prime/etc” account.  So you must pay to play “your” music.  3 stars for that reason.  Everything else is 👍🏻 .,no different than apple. to play a specific list of music you must have an amazon of spotify “plus/prime/etc” account.  so you must pay to play “your” music.  3 stars for that reason.  everything else is 👍🏻 .,neutral,1
"Excelente, lo unico es que no esta en español.","excelente, lo unico es que no esta en español.",positive,2
"I'm still learning how to use it, but so far my Echo is great! The sound is actually much better than I was expecting.","i'm still learning how to use it, but so far my echo is great! the sound is actually much better than i was expecting.",positive,2
Works as you’d expect and then some. Also good sound quality considering price (70.00 on sale) and features.,works as you’d expect and then some. also good sound quality considering price (70.00 on sale) and features.,positive,2
The sound from this Echo 2nd Generation is phenomenal!  Not to mention that I just love Alexa!  She is very helpful.,the sound from this echo 2nd generation is phenomenal!  not to mention that i just love alexa!  she is very helpful.,positive,2
like google better,like google better,neutral,1
Just had to have it and now lets play and learn how to get the most out of it.,just had to have it and now lets play and learn how to get the most out of it.,positive,2
Works as advertised. Very easy to setup. Still learning what this can do.,works as advertised. very easy to setup. still learning what this can do.,positive,2
Great sound and easy to set up.,great sound and easy to set up.,positive,2
"Love Alexa, bought others for friends","love alexa, bought others for friends",positive,2
Love the echo I purchased it for company for my husband he is 83 and Alexa is great all he has to do is say her name and she tells him a joke and plays his favorite songs,love the echo i purchased it for company for my husband he is 83 and alexa is great all he has to do is say her name and she tells him a joke and plays his favorite songs,positive,2
😍,😍,positive,2
Love being able to listen to music easily. Still learning all the features available,love being able to listen to music easily. still learning all the features available,positive,2
"Did t really know what I could use this device for. Used it for a few things, but need an overview","did t really know what i could use this device for. used it for a few things, but need an overview",positive,2
Love this just wish it had a built in hub,love this just wish it had a built in hub,positive,2
I use it primarily to play music.  It works wonderfully!  Still getting used to some of the many things it will do.  Amazon has sent several tips since I got it. Thanks for all your help!,i use it primarily to play music.  it works wonderfully!  still getting used to some of the many things it will do.  amazon has sent several tips since i got it. thanks for all your help!,positive,2
How easy if was to set up.,how easy if was to set up.,positive,2
Fast response which was amazing.  Clear concise answers and sound quality is fantastic.  I am still getting used to Alexia and have not usde Echo to its full extent.,fast response which was amazing.  clear concise answers and sound quality is fantastic.  i am still getting used to alexia and have not usde echo to its full extent.,positive,2
You’re all I need...na na nana!,you’re all i need...na na nana!,positive,2
Does everything as expected and more.,does everything as expected and more.,positive,2
"I love my Echo!  Works just like they said it would. I don't have a &#34;smart&#34; home, so I cannot speak about that function, but everything else about it is good.","i love my echo!  works just like they said it would. i don't have a &#34;smart&#34; home, so i cannot speak about that function, but everything else about it is good.",positive,2
Great sound in a small package—easy to set up and use; fun to own.,great sound in a small package—easy to set up and use; fun to own.,positive,2
Works and sounds great.,works and sounds great.,positive,2
The sound is amazing and many collections of all music,the sound is amazing and many collections of all music,positive,2
Setting up,setting up,positive,2
She doesn’t always listen,she doesn’t always listen,positive,2
It’s awesome,it’s awesome,positive,2
"I bought this because it can control fios television. It works well. I’m hoping over time it will do more to control fios. Then I discovered all the other things Alexa can do. Play music you ask for. Great sound from Alexa. Play games. Play radio stations. Play old time radio programs like the Long Ranger. Alexa has many “apps” you can add to her abilities. The other day I played Madlibs. Great fun. Also Alexa can control household appliances. I just purchased Alexa compatible power strips to control lighting, fans and TV components. I’m looking forward to implementing this controll. You can also add other Alexa components to have chosen music to play in all rooms where the components are located.","i bought this because it can control fios television. it works well. i’m hoping over time it will do more to control fios. then i discovered all the other things alexa can do. play music you ask for. great sound from alexa. play games. play radio stations. play old time radio programs like the long ranger. alexa has many “apps” you can add to her abilities. the other day i played madlibs. great fun. also alexa can control household appliances. i just purchased alexa compatible power strips to control lighting, fans and tv components. i’m looking forward to implementing this controll. you can also add other alexa components to have chosen music to play in all rooms where the components are located.",positive,2
The speaker has excellent sound and works perfectly!,the speaker has excellent sound and works perfectly!,positive,2
I LIKE IT ALL,i like it all,positive,2
I love it. It does everything,i love it. it does everything,positive,2
I was a little nervous when I received my new Echo as I'm not really Tech savvy. I found it a bit intimidating at first but it didn't take me to long to figure it out!! I'm very happy with my purchase and now thinking of adding an echo spot!!!,i was a little nervous when i received my new echo as i'm not really tech savvy. i found it a bit intimidating at first but it didn't take me to long to figure it out!! i'm very happy with my purchase and now thinking of adding an echo spot!!!,positive,2
I like it and still learning how to use it.,i like it and still learning how to use it.,positive,2
Great technology!! Can't believe the speaker volume and quality is so wonderful. Wish I had bought another one!,great technology!! can't believe the speaker volume and quality is so wonderful. wish i had bought another one!,positive,2
"I purchased an echo dot for my husband for Fathers Day.  He uses it constantly and after hearing the quality of sound of the Echo (2nd Generation), It was a no-brainer.  Best gift ever!","i purchased an echo dot for my husband for fathers day.  he uses it constantly and after hearing the quality of sound of the echo (2nd generation), it was a no-brainer.  best gift ever!",positive,2
Works fine!!,works fine!!,positive,2
 ,,positive,2
Clear music,clear music,positive,2
"Fun to use, good sound quality","fun to use, good sound quality",positive,2
The echo works well. I was able to sync it with my other Amazon music devices.,the echo works well. i was able to sync it with my other amazon music devices.,positive,2
"Works great, but I don't think Amazon should charge another cent for unlimited music when you 1) Have Prime AND 2) Buy an Echo.","works great, but i don't think amazon should charge another cent for unlimited music when you 1) have prime and 2) buy an echo.",positive,2
Already had an Echo Dot. The Echo is even better with fuller sound. Also during setup it now lets phone calls to be made to my contact list which is great!,already had an echo dot. the echo is even better with fuller sound. also during setup it now lets phone calls to be made to my contact list which is great!,positive,2
The speaker sounds really good,the speaker sounds really good,positive,2
Good sound works well,good sound works well,positive,2
Love it and Alexa. I am not very savvy but support was very helpful and patient.,love it and alexa. i am not very savvy but support was very helpful and patient.,positive,2
"Love it! I was thinking about getting one and when the prime day discount was offered, I could not pass it up! It's fun to ask Alexa to play any song or group and she comes up with a playlist from Amazon Prime Music. You can also connect your iPhone with bluetooth and play music with Pandora or YouTube videos using Alexa as a speaker. I've been having fun asking Alexa different types of questions or for information like weather, news or even the time in other countries. The only downside is if you have limited data on your wifi plan, because Alexa uses burns it up when playing music.","love it! i was thinking about getting one and when the prime day discount was offered, i could not pass it up! it's fun to ask alexa to play any song or group and she comes up with a playlist from amazon prime music. you can also connect your iphone with bluetooth and play music with pandora or youtube videos using alexa as a speaker. i've been having fun asking alexa different types of questions or for information like weather, news or even the time in other countries. the only downside is if you have limited data on your wifi plan, because alexa uses burns it up when playing music.",positive,2
"We like it all so far, but have a lot to try out yet.","we like it all so far, but have a lot to try out yet.",positive,2
Love it - am using it strictly for music now and it's great!,love it - am using it strictly for music now and it's great!,positive,2
"Love the Echo !!! I love the size, material and speaker quality. I have it hooked up to one light easily and will work on additional lights and thermostat. Next is Echo Dot for bedroom. There is a lot more to do with Echo that you think. Traffic, Weather, Trivia, etc.","love the echo !!! i love the size, material and speaker quality. i have it hooked up to one light easily and will work on additional lights and thermostat. next is echo dot for bedroom. there is a lot more to do with echo that you think. traffic, weather, trivia, etc.",positive,2
Love it!,love it!,positive,2
The entire family loves Alexa Echo. She’s now a part of this family.,the entire family loves alexa echo. she’s now a part of this family.,positive,2
"Great fun getting to know all the functions of this product.  WOW -- family fun and homework help.  Talking with other grandchildren,who also have an Echo, is a HUGE bonus.  Can't wait to learn more and more and more","great fun getting to know all the functions of this product.  wow -- family fun and homework help.  talking with other grandchildren,who also have an echo, is a huge bonus.  can't wait to learn more and more and more",positive,2
Love it!,love it!,positive,2
"awesome thing, love Alexa","awesome thing, love alexa",positive,2
It worked exactly as expected and the speaker has great sound. It is perfect for my classroom!,it worked exactly as expected and the speaker has great sound. it is perfect for my classroom!,positive,2
"LOVE, LOVE this new little gadget.  Has  made our lives so much easier.  it's like having our own personal secretary living here in the home.  We hardly need our CD's anymore, since ALEXA plays everything we need.  Going to get the Alexa DOTS soon for more rooms.  Thanks!!","love, love this new little gadget.  has  made our lives so much easier.  it's like having our own personal secretary living here in the home.  we hardly need our cd's anymore, since alexa plays everything we need.  going to get the alexa dots soon for more rooms.  thanks!!",positive,2
The speaker is of surprising quality. Happy with the purchase.,the speaker is of surprising quality. happy with the purchase.,positive,2
Very easy to set up. Works wonderful and I love it!!,very easy to set up. works wonderful and i love it!!,positive,2
I'm really impressed with the sound quality when playing music from this device.  The bass sounds almost like it's coming from a bigger speaker so props to Amazon.,i'm really impressed with the sound quality when playing music from this device.  the bass sounds almost like it's coming from a bigger speaker so props to amazon.,positive,2
"It’s still a great product.But the sound quality does seem worse.Don’t get me wrong. You definitely get used to it within an hour. But it definitely feels like echo gen 1 sound quality was better.Besides that , it’s great.With the addition of being able to play Just over Bluetooth with no WiFi, it’s even better.","it’s still a great product.but the sound quality does seem worse.don’t get me wrong. you definitely get used to it within an hour. but it definitely feels like echo gen 1 sound quality was better.besides that , it’s great.with the addition of being able to play just over bluetooth with no wifi, it’s even better.",positive,2
The outlet does not work with it. Was disappointed in that.,the outlet does not work with it. was disappointed in that.,positive,2
"Great device, responsive and helpful","great device, responsive and helpful",positive,2
Sound is terrible if u want good music too get a bose,sound is terrible if u want good music too get a bose,negative,0
"i liked the sound . what is troubling is that I paid extra money to have access to a million more songs. Sometimes it doesn't work. Ex. Alexa play Italian songs&#34; .don't have or don&#34; t understand. or play the opera Tosca, response &#34;sorry I don&#34;t have that.","i liked the sound . what is troubling is that i paid extra money to have access to a million more songs. sometimes it doesn't work. ex. alexa play italian songs&#34; .don't have or don&#34; t understand. or play the opera tosca, response &#34;sorry i don&#34;t have that.",positive,2
Easy to set up and use. Too bad it has to be plugged in. Would be nice to take it outside and operate on battery and recharged.,easy to set up and use. too bad it has to be plugged in. would be nice to take it outside and operate on battery and recharged.,positive,2
Still learning all the ways to use it.  It is a real hit with my grandkids who ask it to play music and then dance to it.  (5 and 7 yrs).  Very cute.,still learning all the ways to use it.  it is a real hit with my grandkids who ask it to play music and then dance to it.  (5 and 7 yrs).  very cute.,positive,2
"4.5 out of 5 Stars. I generally like this product. Its great at doing what you ask of it like playing music, setting timers, and making calls. Reason why I didn't rate it 5 out of 5 is that sometimes the connection dies and my Echo stops playing music and shows a red ring. Seems to be a connection issue. Overall, great product.","4.5 out of 5 stars. i generally like this product. its great at doing what you ask of it like playing music, setting timers, and making calls. reason why i didn't rate it 5 out of 5 is that sometimes the connection dies and my echo stops playing music and shows a red ring. seems to be a connection issue. overall, great product.",positive,2
"Works great, upgraded from echo dot to full size echo, couldn’t be happier!","works great, upgraded from echo dot to full size echo, couldn’t be happier!",positive,2
It's Alexa.... what else can you say,it's alexa.... what else can you say,positive,2
Upgraded from my lilttle echo dot. Happy with sound,upgraded from my lilttle echo dot. happy with sound,positive,2
"Excellent product, set up with ease as well.","excellent product, set up with ease as well.",positive,2
I've had the first gen Echo since it first came out and it has worked well for me. I purchased the 2nd gen during Prime Day and so far I'm happy. It seems to have an improved speaker which provides enhanced sound for music and such.,i've had the first gen echo since it first came out and it has worked well for me. i purchased the 2nd gen during prime day and so far i'm happy. it seems to have an improved speaker which provides enhanced sound for music and such.,positive,2
I love my Echo smart speaker.  I love the volume and clarity.  It was easy to set up.  ITs a wonderful gift for any age.,i love my echo smart speaker.  i love the volume and clarity.  it was easy to set up.  its a wonderful gift for any age.,positive,2
wonderful product and fast delivery!,wonderful product and fast delivery!,positive,2
Initially harder to set up called tech wasn’t that knowledgeable now working great.,initially harder to set up called tech wasn’t that knowledgeable now working great.,positive,2
It was very easy to set up and my family love it’s!,it was very easy to set up and my family love it’s!,positive,2
Has great sound and is very responsive my voice and commands.,has great sound and is very responsive my voice and commands.,positive,2
How did I live this long without the Echo . You get to enjoy any music style  just my asking Alexa . Going to up-greade to the wireless . Love the Echo . Love you too Alexa .,how did i live this long without the echo . you get to enjoy any music style  just my asking alexa . going to up-greade to the wireless . love the echo . love you too alexa .,positive,2
Very cool product. Speaker sounds good with my Spotify blasting through it.,very cool product. speaker sounds good with my spotify blasting through it.,positive,2
Having so much fun with Alexa. Love being able to listen to music when I’m across the room or busy doing something else.,having so much fun with alexa. love being able to listen to music when i’m across the room or busy doing something else.,positive,2
"So far it seems to be a very nice item. It picks up on my voice and understands me without any problems. The other day I asked it to turn down the music from the next room and it heard me just fine. I've only used it to listen to music and check the weather, but it has done both of those things very well.","so far it seems to be a very nice item. it picks up on my voice and understands me without any problems. the other day i asked it to turn down the music from the next room and it heard me just fine. i've only used it to listen to music and check the weather, but it has done both of those things very well.",positive,2
Love our echo,love our echo,positive,2
"I love it,she is very helpful. I use her for remembering things and sleep. You can ask her just about anything. I have only had her for about a week so still learning her.","i love it,she is very helpful. i use her for remembering things and sleep. you can ask her just about anything. i have only had her for about a week so still learning her.",positive,2
"It's better than the 1st gen in every way except for one.  I really miss the ring at the top for volume control.  It was quicker and easier to just grab the top and twist without having to look at the buttons and find the &#34;-&#34; one and press it a few times.  I also wish the bass was a bit better.  All in all, it's a great device and I'm happy with it.","it's better than the 1st gen in every way except for one.  i really miss the ring at the top for volume control.  it was quicker and easier to just grab the top and twist without having to look at the buttons and find the &#34;-&#34; one and press it a few times.  i also wish the bass was a bit better.  all in all, it's a great device and i'm happy with it.",positive,2
I love having an Alexa!,i love having an alexa!,positive,2
So far I like it 🤓,so far i like it 🤓,positive,2
I am thoroughly enjoying my Ecoo!  Love to have it read my audiobook to me while in the office and then I can simply open the audiobook on my kindle to continue it when elsewhere. Wonderful for listening to music when not in the mood for a book. Great for setting reminders for myself too and so much more.,i am thoroughly enjoying my ecoo!  love to have it read my audiobook to me while in the office and then i can simply open the audiobook on my kindle to continue it when elsewhere. wonderful for listening to music when not in the mood for a book. great for setting reminders for myself too and so much more.,positive,2
Still love it,still love it,positive,2
Love it,love it,positive,2
"I love the sound quality of this unit, it is a very clear sound.","i love the sound quality of this unit, it is a very clear sound.",positive,2
I just this for listening to talk radio in the morning and turning lights on and off etc. The system does an excellent job as a full house sound system streaming Sirius.,i just this for listening to talk radio in the morning and turning lights on and off etc. the system does an excellent job as a full house sound system streaming sirius.,positive,2
"I have had for only a week, so I am still learning all that Alexa can do.  It is a learning process.  I love the music I can call up any time.  I listen to podcasts and radio stations.  I have just started keeping shopping lists and grocery lists, which I love.  I don’t have to search for paper and pencil.  Getting time and temperature are great, do not have to wait for weather reports.  The sound is good.  I am not fussy about woofers, tweeters, base , etc.  the Echo is fine for me.  This afternoon I am going to try “dropping in”.on my son when he gets home.  Going to surprise him.","i have had for only a week, so i am still learning all that alexa can do.  it is a learning process.  i love the music i can call up any time.  i listen to podcasts and radio stations.  i have just started keeping shopping lists and grocery lists, which i love.  i don’t have to search for paper and pencil.  getting time and temperature are great, do not have to wait for weather reports.  the sound is good.  i am not fussy about woofers, tweeters, base , etc.  the echo is fine for me.  this afternoon i am going to try “dropping in”.on my son when he gets home.  going to surprise him.",positive,2
Not much features.,not much features.,negative,0
"Great sound quality, great features, great product. Multi room music is very cool.","great sound quality, great features, great product. multi room music is very cool.",positive,2
Cool,cool,positive,2
Everyone should have an Echo or two or three or more. I bought my Echo through QVC.,everyone should have an echo or two or three or more. i bought my echo through qvc.,positive,2
it's annoying that everything they show Alexa as being able to do has to be downloaded. You spend so  much time trying to figure out how to phrase it for the machine that you may as well just look it up yourself,it's annoying that everything they show alexa as being able to do has to be downloaded. you spend so  much time trying to figure out how to phrase it for the machine that you may as well just look it up yourself,neutral,1
I have had Alexa since the beginning.  I accidentally spilled water on her and have replaced it with the 2nd generation.  I decided I couldn't be without an Echo.  Setup was easy and had it working within minutes.,i have had alexa since the beginning.  i accidentally spilled water on her and have replaced it with the 2nd generation.  i decided i couldn't be without an echo.  setup was easy and had it working within minutes.,positive,2
"I like being able to tell Alexia the music I want to hear, but sometimes she has trouble finding the song if I am not very specific about the title.","i like being able to tell alexia the music i want to hear, but sometimes she has trouble finding the song if i am not very specific about the title.",positive,2
I like the looks better than the original echo.  I moved my old echo to the basement family room. Nice sound.,i like the looks better than the original echo.  i moved my old echo to the basement family room. nice sound.,positive,2
The Echo is wonderful but I'm still learning how to use it. Music requests are somewhat limited.,the echo is wonderful but i'm still learning how to use it. music requests are somewhat limited.,positive,2
"Doesn't know half the things asked. Can't recognize my sprinkler wifi controller, even though product details says it is compatible. Can't program or change my wifi thermostat settings and its matched up on same wifi router. Just a handy music player. That's if you have Amazon Music.","doesn't know half the things asked. can't recognize my sprinkler wifi controller, even though product details says it is compatible. can't program or change my wifi thermostat settings and its matched up on same wifi router. just a handy music player. that's if you have amazon music.",neutral,1
Love it,love it,positive,2
awesome.understands my kids,awesome.understands my kids,positive,2
We were pleasantly surprised at the sound quality and the many features. How nice to easily hear a particular artist or hear our books just by a simple command. Looking forward to exploring other options with this device.,we were pleasantly surprised at the sound quality and the many features. how nice to easily hear a particular artist or hear our books just by a simple command. looking forward to exploring other options with this device.,positive,2
Met and exceeded my expectations. Easy set up and is really quick in responses.,met and exceeded my expectations. easy set up and is really quick in responses.,positive,2
"I like the fact that I can get any kind of music from Prime that I want on request from Alexa. I liked the informative photo little pamphlet but wish it included how to connect your TV etc. to the commands from Alexa. BUT, I really love having the music.","i like the fact that i can get any kind of music from prime that i want on request from alexa. i liked the informative photo little pamphlet but wish it included how to connect your tv etc. to the commands from alexa. but, i really love having the music.",positive,2
"i have not found a way to access my echo thorough my prime account.  I think it should be part of the top line with video, music, etc.  I also think the setup app where i define, for example music i like, is not well integrated into echo.  I have tried to ask for my playlist and echo is not sure even though i set up play list in my settings.  I also do not like the fact that my words have to be exact match of my playlist names, which i can never remember.I like the ready nature of echo to respond to most any queries.","i have not found a way to access my echo thorough my prime account.  i think it should be part of the top line with video, music, etc.  i also think the setup app where i define, for example music i like, is not well integrated into echo.  i have tried to ask for my playlist and echo is not sure even though i set up play list in my settings.  i also do not like the fact that my words have to be exact match of my playlist names, which i can never remember.i like the ready nature of echo to respond to most any queries.",positive,2
This is great item and just added audible books which makes it even better. Thank you!,this is great item and just added audible books which makes it even better. thank you!,positive,2
